year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2017/2018,55801000,NA,Funnel cake with sugar,2,Links to altEC,Base,0.761876
2017/2018,55801010,NA,Funnel cake with sugar and fruit,2,Links to altEC,Base,1.011637
2017/2018,56104000,NA,"Pasta, vegetable, cooked (Includes spinach, tomato, tri-color or other vegetable pasta; macaroni, spaghetti, any shape of pasta)",1,Links to FNDDS,Base,0.756342
2017/2018,56112000,NA,"Noodles, cooked (Includes pastina; egg noodles; NS as to grain type)",2,Links to altEC,Base,0.496566
2017/2018,56113000,NA,"Noodles, whole grain, cooked (Includes whole wheat)",1,Links to FNDDS,Base,0.803597
2017/2018,56113990,NA,"Noodles, vegetable, cooked (Includes spinach noodles)",4,FNDDS recipe with replaced or modified SR codes,Base,0.25303
2017/2018,56116000,NA,"Noodles, chow mein (Includes Chinese noodles)",1,Links to FNDDS,Base,0.795127
2017/2018,56116990,NA,"Long rice noodles, made from mung beans, cooked (Includes transparent noodles; cellophane noodles)",3,Original FNDDS recipe,Base,0.268128
2017/2018,56117090,NA,"Rice noodles, cooked (Includes Chow fun rice noodles)",2,Links to altEC,Base,0.249779
2017/2018,56130000,NA,"Pasta, cooked (Includes macaroni, spaghetti, any shape of pasta; NS as to grain type; pasta, NFS)",2,Links to altEC,Base,0.256523
2017/2018,56132990,NA,"Pasta, whole grain, cooked (Includes whole wheat; macaroni, spaghetti, any shape of pasta)",2,Links to altEC,Base,0.121382
2017/2018,56140100,NA,"Pasta, gluten free (Includes macaroni, spaghetti, any shape of pasta)",2,Links to altEC,Base,0.114248
2017/2018,56200390,NA,"Barley, NS as to fat (Includes all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.108533
2017/2018,56200400,NA,"Barley, no added fat (Includes all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.108533
2017/2018,56200490,NA,"Buckwheat groats, NS as to fat (Includes kasha; all liquids)",3,Original FNDDS recipe,Base,0.356136
2017/2018,56200500,NA,"Buckwheat groats, no added fat (Includes kasha; all liquids)",3,Original FNDDS recipe,Base,0.356136
2017/2018,56200510,NA,"Buckwheat groats, fat added (Includes kasha; all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.356756
2017/2018,56200990,NA,"Grits, NS as to regular, quick, or instant, NS as to fat (Includes all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.043747
2017/2018,56201000,NA,"Grits, NS as to regular, quick, or instant, no added fat (Includes all liquids)",3,Original FNDDS recipe,Base,0.032458
2017/2018,56201040,NA,"Grits, NS as to regular, quick, or instant, fat added (Includes all liquids)",4,FNDDS recipe with replaced or modified SR codes,Base,0.043747
2017/2018,56201050,NA,"Grits, regular or quick, made with water, NS as to fat (Includes NS as to liquid)",4,FNDDS recipe with replaced or modified SR codes,Base,0.043747
