year,food_code,mod_code,food_description,method,method_description,nhanes,price_100gm
2011/2012,11100000,0,"Milk, NFS",4,FNDDS recipe with modified SR codes,NA,0.091897
2011/2012,11111000,0,"Milk, cow's, fluid, whole (Includes 3.5% or 3.8% fat milk, leche fresca)",1,Links to FNDDS,NA,0.094505
2011/2012,11112110,0,"Milk, cow's, fluid, 2% fat (Includes Hi-Protein milk, fortified milk, 1.5% fat milk, reduced fat milk)",1,Links to FNDDS,NA,0.088018
2011/2012,11112210,0,"Milk, cow's, fluid, 1% fat (Includes Lucerne Protein Fortified Extra Light Milk, lowfat milk)",1,Links to FNDDS,NA,0.089206
2011/2012,11113000,0,"Milk, cow's, fluid, skim or nonfat, 0.5% or less butterfat (Includes fat free milk)",1,Links to FNDDS,NA,0.088424
2011/2012,11114300,0,"Milk, cow's, fluid, lactose reduced, 1% fat (Includes Lactaid, Lactaid, NS as to percent fat, lowfat milk)",1,Links to FNDDS,NA,0.190547
2011/2012,11114320,0,"Milk, cow's, fluid, lactose reduced, nonfat (Includes Lactaid, fat free or skim milk)",2,Links to altEC,NA,0.191187
2011/2012,11114330,0,"Milk, cow's, fluid, lactose reduced, 2% fat (Includes Lactaid, reduced fat milk)",1,Links to FNDDS,NA,0.191187
2011/2012,11114350,0,"Milk, cow's, fluid, lactose reduced, whole (Includes Lactaid whole milk, lactose free)",1,Links to FNDDS,NA,0.190805
2011/2012,11115000,0,"Buttermilk, fluid, nonfat (Includes Kefir milk, buttermilk, NS as to fat, fat free or skim buttermilk)",1,Links to FNDDS,NA,0.302781
2011/2012,11115100,0,"Buttermilk, fluid, 1% fat (Includes lowfat buttermilk)",1,Links to FNDDS,NA,0.164598
2011/2012,11115200,0,"Buttermilk, fluid, 2% fat (Includes buttermilk, fluid, 2% fat, made with nonfat milk solids, reduced fat milk)",1,Links to FNDDS,NA,0.202687
2011/2012,11115300,0,"Buttermilk, fluid, whole",1,Links to FNDDS,NA,0.183312
2011/2012,11116000,0,"Milk, goat's, fluid, whole",1,Links to FNDDS,NA,0.415648
2011/2012,11121300,0,"Milk, dry, reconstituted, nonfat (Includes fat free or skim milk)",4,FNDDS recipe with modified SR codes,NA,0.011687
2011/2012,11210050,0,"Milk, evaporated, NS as to fat content (formerly NS as to dilution, used in coffee or tea, assume undiluted)",1,Links to FNDDS,NA,0.294224
2011/2012,11211050,0,"Milk, evaporated, whole (formerly NS as to dilution, used in coffee or tea)",1,Links to FNDDS,NA,0.262291
2011/2012,11212050,0,"Milk, evaporated, skim (formerly NS as to dilution, used in coffee or tea) (Includes fat free or nonfat milk)",1,Links to FNDDS,NA,0.328876
2011/2012,11220000,0,"Milk, condensed, sweetened (formerly NS as to dilution)",1,Links to FNDDS,NA,0.358871
2011/2012,11320000,0,"Milk, soy, ready-to-drink, not baby's (Includes Edensoy soy beverage, vanilla flavored soy milk, Silk Soymilk)",1,Links to FNDDS,NA,0.161115
2011/2012,11320100,0,"Milk, soy, light, ready-to-drink, not baby's (Includes vanilla flavored soymilk, Silk Soymilk, Vitasoy Soymilk, WestSoy Soymilk)",1,Links to FNDDS,NA,0.129499
2011/2012,11320200,0,"Milk, soy, nonfat, ready-to-drink, not baby's (Includes vanilla flavored soymilk, WestSoy Soymilk)",2,Links to altEC,NA,0.129499
2011/2012,11321000,0,"Milk, soy, ready-to-drink, not baby's, chocolate (Includes Silk Soymilk, Belsoy)",1,Links to FNDDS,NA,0.169961
2011/2012,11350000,0,"Milk, almond, ready-to-drink (Includes Blue Diamond Almond Breeze, Silk PureAlmond, vanilla flavored)",1,Links to FNDDS,NA,0.160109
2011/2012,11350010,0,"Milk, almond, ready-to-drink, chocolate (Includes Blue Diamond Almond Breeze, Silk PureAlmond)",1,Links to FNDDS,NA,0.177798
2011/2012,11410000,0,"Yogurt, NS as to type of milk or flavor",1,Links to FNDDS,NA,0.669788
2011/2012,11411010,0,"Yogurt, plain, NS as to type of milk",1,Links to FNDDS,NA,0.563881
2011/2012,11411100,0,"Yogurt, plain, whole milk",1,Links to FNDDS,NA,0.398249
2011/2012,11411200,0,"Yogurt, plain, lowfat milk",1,Links to FNDDS,NA,0.422659
2011/2012,11411300,0,"Yogurt, plain, nonfat milk",1,Links to FNDDS,NA,0.499548
2011/2012,11420000,0,"Yogurt, vanilla, lemon, or coffee flavor, NS as to type of milk",1,Links to FNDDS,NA,0.470545
2011/2012,11421000,0,"Yogurt, vanilla, lemon, or coffee flavor, whole milk",1,Links to FNDDS,NA,0.51371
2011/2012,11422000,0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk (Includes liquid yogurt, LeShake, Tuscan, Go-Gurt Portable Yogurt tube, Yoplait Expresse Yogurt)",1,Links to FNDDS,NA,0.437965
2011/2012,11422100,0,"Yogurt, vanilla, lemon, maple, or coffee flavor, lowfat milk, sweetened with low calorie sweetener",2,Links to altEC,NA,0.382088
2011/2012,11423000,0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk",1,Links to FNDDS,NA,0.523112
2011/2012,11424000,0,"Yogurt, vanilla, lemon, maple, or coffee flavor, nonfat milk, sweetened with low calorie sweetener",1,Links to FNDDS,NA,0.382088
2011/2012,11427000,0,"Yogurt, chocolate, nonfat milk (Includes Snackwell's Nonfat Chocolate Almond Yogurt)",1,Links to FNDDS,NA,0.184971
2011/2012,11430000,0,"Yogurt, fruit variety, NS as to type  of milk",1,Links to FNDDS,NA,0.473943
2011/2012,11431000,0,"Yogurt, fruit variety, whole milk (Includes breakfast yogurt)",1,Links to FNDDS,NA,0.561702
2011/2012,11432000,0,"Yogurt, fruit variety, lowfat milk (Includes Kissle, custard style, Dannon Lowfat Yogurt Fruit with Sprinkl'ins, Trix Swirl Yumsters, Dannon Danimals, Dannon Danimals Drinkable Yogurt, liquid yogurt, Go-Gurt Portable Yogurt tube, Yoplait Expresse Yogurt)",1,Links to FNDDS,NA,0.423192
2011/2012,11432500,0,"Yogurt, fruit variety, lowfat milk, sweetened with low-calorie sweetener (Includes La Yogurt, Axelrod)",1,Links to FNDDS,NA,0.523558
2011/2012,11433000,0,"Yogurt, fruit variety, nonfat milk",1,Links to FNDDS,NA,0.555317
2011/2012,11433500,0,"Yogurt, fruit variety, nonfat milk, sweetened with low-calorie sweetener (Includes Jenny's Cuisine Strawberry Flavored Nonfat Yogurt Mix prepared with water)",1,Links to FNDDS,NA,0.381298
2011/2012,11446000,0,"Fruit and lowfat yogurt parfait (Includes McDonald's Fruit 'n Yogurt Parfait, with granola)",1,Links to FNDDS,NA,NA
2011/2012,11460000,0,"Yogurt, frozen, flavors other than chocolate, NS as to type of milk (Includes yogurt, frozen, flavors with partial chocolate base, NS as to type of milk)",2,Links to altEC,NA,0.435949
2011/2012,11460160,0,"Yogurt, frozen, chocolate, lowfat milk",1,Links to FNDDS,NA,0.27658
2011/2012,11460170,0,"Yogurt, frozen, flavors other than chocolate, lowfat milk",1,Links to FNDDS,NA,0.315179
2011/2012,11460250,0,"Yogurt, frozen, flavors other than chocolate, with sorbet or sorbet-coated (Includes Haagen-Dazs Raspberry and Vanilla Frozen Yogurt bar)",1,Links to FNDDS,NA,0.513734
2011/2012,11460300,0,"Yogurt, frozen, flavors other than chocolate, nonfat milk (Includes Turkey Hill Nonfat Frozen Yogurt)",1,Links to FNDDS,NA,0.244015
2011/2012,11460410,0,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener (Includes soft serve, sugar free, fat free frozen yogurt)",1,Links to FNDDS,NA,0.643944
2011/2012,11480010,0,"Yogurt, whole milk, baby food (Includes YoBaby Original, all flavors)",1,Links to FNDDS,NA,0.9772
2011/2012,11480020,0,"Yogurt, whole milk, baby food, with fruit and multigrain cereal puree, NFS (Includes YoBaby Plus Fruit & Cereal, NFS)",1,Links to FNDDS,NA,0.77838
2011/2012,11511000,0,"Milk, chocolate, NFS (Includes chocolate milk, NS as to milk or drink)",4,FNDDS recipe with modified SR codes,NA,0.229817
2011/2012,11511100,0,"Milk, chocolate, whole milk-based",1,Links to FNDDS,NA,0.205839
2011/2012,11511200,0,"Milk, chocolate, reduced fat milk-based, 2% (formerly ""lowfat"") (Includes Autocrat coffee lowfat milk, Nescafe Mocha cooler, 2% fat milk)",1,Links to FNDDS,NA,0.2334
2011/2012,11511300,0,"Milk, chocolate, skim milk-based (Includes fat free or nonfat milk)",4,FNDDS recipe with modified SR codes,NA,0.10993
2011/2012,11511400,0,"Milk, chocolate, lowfat milk-based (Includes 1% fat milk, chocolate flavored milk from school lunch or breakfast program)",1,Links to FNDDS,NA,0.134892
2011/2012,11512000,0,"Cocoa, hot chocolate, not from dry mix, made with whole milk",4,FNDDS recipe with modified SR codes,NA,0.129848
2011/2012,11512510,0,"Hot chocolate, Puerto Rican style, made with low fat milk (Includes chocolate caliente)",4,FNDDS recipe with modified SR codes,NA,0.455439
2011/2012,11513100,0,"Cocoa and sugar mixture, whole milk added (Includes Nestle's Quik, Hershey's Instant)",4,FNDDS recipe with modified SR codes,NA,0.14407
2011/2012,11513150,0,"Cocoa and sugar mixture, reduced fat milk added (Includes Nestle's Quik, Hershey's Instant, with 2% fat milk)",4,FNDDS recipe with modified SR codes,NA,0.137379
2011/2012,11513200,0,"Cocoa and sugar mixture, lowfat milk added (Includes Nestle's Quik, Hershey's Instant, with 1% fat milk)",4,FNDDS recipe with modified SR codes,NA,0.145644
2011/2012,11513500,0,"Chocolate syrup, whole milk added",4,FNDDS recipe with modified SR codes,NA,0.128438
2011/2012,11513550,0,"Chocolate syrup, reduced fat milk added (Includes with 2% fat milk)",4,FNDDS recipe with modified SR codes,NA,0.122118
2011/2012,11513600,0,"Chocolate syrup, lowfat milk added (Includes with 1% fat milk)",4,FNDDS recipe with modified SR codes,NA,0.129925
2011/2012,11513700,0,"Chocolate syrup, skim milk added (Includes with fat free or nonfat milk)",4,FNDDS recipe with modified SR codes,NA,0.122051
2011/2012,11514100,0,"Cocoa, sugar, and dry milk mixture, water added (Includes cocoa mix, NFS, Swiss Miss Hot Chocolate, Hershey's Hot Chocolate, Nestle's Hot Chocolate, Carnation Hot Chocolate, mint-flavored)",4,FNDDS recipe with modified SR codes,NA,0.126789
2011/2012,11514300,0,"Cocoa with nonfat dry milk and low calorie sweetener, mixture, water added (Includes Swiss Miss Sugar-Free Hot Cocoa Mix, Alba Sugar-Free Hot Cocoa Mix, Hills Bros. Sugar-Free Old Fashioned Hot Cocoa Mix, Nutri System Hot Chocolate, Carnation Sugar Free H",4,FNDDS recipe with modified SR codes,NA,0.077401
2011/2012,11516000,0,"Cocoa, whey, and low-calorie sweetener mixture, lowfat milk added (Includes Sugar-free Nestle's Quik, with 1% fat milk)",4,FNDDS recipe with modified SR codes,NA,0.145974
2011/2012,11519040,0,"Milk, flavors other than chocolate, NFS (Includes ns as to milk or drink, strawberry milk, vanilla milk, banana milk, orange cream milk)",1,Links to FNDDS,NA,0.249206
2011/2012,11519050,0,"Milk, flavors other than chocolate, whole milk-based",4,FNDDS recipe with modified SR codes,NA,0.158461
2011/2012,11519105,0,"Milk, flavors other than chocolate, reduced fat milk-based (Includes 2% fat milk, strawberry milk, vanilla milk, banana milk, orange cream milk, Nestle Quik Strawberry Milk)",1,Links to FNDDS,NA,0.213319
2011/2012,11519200,0,"Milk, flavors other than chocolate, lowfat milk-based (Includes 1% fat milk, strawberry milk, vanilla milk, banana milk, orange cream milk, flavored milk from school lunch or breakfast program)",4,FNDDS recipe with modified SR codes,NA,0.160035
2011/2012,11519205,0,"Milk, flavors other than chocolate, skim-milk based (Includes fat free or nonfat milk, strawberry milk, vanilla milk, banana milk, orange cream milk)",4,FNDDS recipe with modified SR codes,NA,0.151588
2011/2012,11526000,0,"Milk, malted, fortified, chocolate, made with milk (Includes Ovaltine)",4,FNDDS recipe with modified SR codes,NA,0.168993
2011/2012,11526000,201914,"Milk, malted, fortified, chocolate, made with milk W/ WHOLE MILK",4,FNDDS recipe with modified SR codes,NA,0.172456
2011/2012,11526000,202280,"Milk, malted, fortified, chocolate, made with milk W/ 2% MILK",4,FNDDS recipe with modified SR codes,NA,0.16574
2011/2012,11531000,0,"Eggnog, made with whole milk (Includes eggnog, NFS)",1,Links to FNDDS,NA,0.264038
2011/2012,11531500,0,"Eggnog, made with 2% reduced fat milk (formerly eggnog, made with ""2% lowfat"" milk)",1,Links to FNDDS,NA,0.209316
2011/2012,11541120,0,"Milk shake, homemade or fountain-type, flavors other than chocolate (Includes ice cream parlor milk shakes, soda shop milk shakes)",4,FNDDS recipe with modified SR codes,NA,0.475288
2011/2012,11542100,0,"Carry-out milk shake, chocolate (Includes Roy Rogers, Burger King, Dairy Queen, Carl's Jr, Whataburger, McDonald's shake)",1,Links to FNDDS,NA,1.154374
2011/2012,11542200,0,"Carry-out milk shake, flavors other than chocolate (Includes Roy Rogers, Burger King, Dairy Queen, McDonald's shake)",1,Links to FNDDS,NA,1.092649
2011/2012,11551050,0,Milk fruit drink (Includes licuado),2,Links to altEC,NA,0.510693
2011/2012,11553000,0,"Fruit smoothie drink, made with fruit or fruit juice and dairy products (Includes made with milk, yogurt, sherbet, or ice cream)",2,Links to altEC,NA,0.510693
2011/2012,11560000,0,"Chocolate-flavored drink, whey- and milk-based (Includes Yoo-hoo)",1,Links to FNDDS,NA,0.152852
2011/2012,11561000,0,Cafe con leche (Includes beverage made with equal amounts of coffee and milk),2,Links to altEC,NA,NA
2011/2012,11710000,0,"Infant formula, NFS",2,Links to altEC,NA,NA
2011/2012,11710056,0,"Similac Expert Care Alimentum, infant formula, prepared from powder, made with baby water (Includes Similac Alimentum, made with Nursery water; Gerber Pure Water; Beech Nut Spring Water)",4,FNDDS recipe with modified SR codes,NA,0.805338
2011/2012,11710350,0,"Similac Advance, infant formula, NS as to form (Includes Similac Advance EarlyShield)",2,Links to altEC,NA,0.63287
2011/2012,11710351,0,"Similac Advance, infant formula, ready-to-feed (Includes Similac Advance EarlyShield)",2,Links to altEC,NA,0.742113
2011/2012,11710353,0,"Similac Advance, infant formula, prepared from powder, made with water, NFS (Includes Similac Advance EarlyShield)",3,Original FNDDS recipe,NA,0.482135
2011/2012,11710354,0,"Similac Advance, infant formula, prepared from liquid concentrate, made with tap water (Includes Similac Advance EarlyShield, made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.630966
2011/2012,11710355,0,"Similac Advance, infant formula, prepared from liquid concentrate, made with plain bottled water (Includes Similac Advance EarlyShield, made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.647201
2011/2012,11710356,0,"Similac Advance, infant formula, prepared from liquid concentrate, made with baby water (Includes Similac Advance EarlyShield, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.647201
2011/2012,11710357,0,"Similac Advance, infant formula, prepared from powder, made with tap water (Includes Similac Advance EarlyShield, made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.482491
2011/2012,11710358,0,"Similac Advance, infant formula, prepared from powder, made with plain bottled water (Includes Similac Advance EarlyShield, made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.511749
2011/2012,11710359,0,"Similac Advance, infant formula, prepared from powder, made with baby water (Includes Similac Advance EarlyShield, made with Nursery water; Gerber Pure water; Beech-Nut Spring Water)",4,FNDDS recipe with modified SR codes,NA,0.511749
2011/2012,11710371,0,"Similac Sensitive, infant formula, ready-to-feed",1,Links to FNDDS,NA,NA
2011/2012,11710377,0,"Similac Sensitive, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.505012
2011/2012,11710378,0,"Similac Sensitive, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.53414
2011/2012,11710379,0,"Similac Sensitive, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.53414
2011/2012,11710471,0,"Similac Expert Care NeoSure, infant formula, ready-to-feed",1,Links to FNDDS,NA,0.835263
2011/2012,11710479,0,"Similac Expert Care NeoSure, infant formula, prepared from powder, made with baby water (Includes Similac Neosure, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.650347
2011/2012,11710639,0,"Enfamil PREMIUM Infant, infant formula, prepared from powder, made with baby water (Includes made with Nursery water, Gerber Pure water, Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.537233
2011/2012,11710644,0,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with tap water (Includes made with filtered tap water or well water)",4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710646,0,"Enfamil PREMIUM LIPIL, infant formula, prepared from liquid concentrate, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710647,0,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,NA
2011/2012,11710648,0,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710649,0,"Enfamil PREMIUM LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,NA
2011/2012,11710651,0,"Enfamil LIPIL, infant formula, ready-to-feed",1,Links to FNDDS,NA,NA
2011/2012,11710654,0,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with tap water (Includes made with filtered tap water or well water)",4,FNDDS recipe with modified SR codes,NA,0.980777
2011/2012,11710656,0,"Enfamil LIPIL, infant formula, prepared from liquid concentrate, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.997039
2011/2012,11710657,0,"Enfamil LIPIL, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.120893
2011/2012,11710658,0,"Enfamil LIPIL, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.150151
2011/2012,11710659,0,"Enfamil LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.150151
2011/2012,11710664,0,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with tap water (Includes Enfamil RestFull LIPIL, made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.526819
2011/2012,11710669,0,"Enfamil A.R. LIPIL, infant formula, prepared from powder, made with baby water (Includes Enfamil RestFull LIPIL, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.55599
2011/2012,11710671,0,"Enfamil Gentlease LIPIL, infant formula, ready-to-feed",1,Links to FNDDS,NA,0.678609
2011/2012,11710677,0,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.535565
2011/2012,11710678,0,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.564736
2011/2012,11710679,0,"Enfamil Gentlease LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.564736
2011/2012,11710681,0,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, ready-to-feed",1,Links to FNDDS,NA,0.553729
2011/2012,11710687,0,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with tap water (Includes Enfamil Next Step LIPIL, made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.318724
2011/2012,11710689,0,"Enfamil Enfagrow PREMIUM Next Step LIPIL, infant formula, prepared from powder, made with baby water (Includes Enfamil Next Step LIPIL, made with Nursery waters; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.347852
2011/2012,11710699,0,"Enfamil Gentlease Next Step LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.417566
2011/2012,11710800,0,"Pediasure, infant formula, NS as to form (Includes all flavors)",2,Links to altEC,NA,0.698591
2011/2012,11710801,0,"Pediasure, infant formula, ready-to-feed (Includes all flavors)",1,Links to FNDDS,NA,0.698591
2011/2012,11710911,0,"Gerber Good Start Gentle Plus, infant formula, ready-to-feed",1,Links to FNDDS,NA,0.677828
2011/2012,11710913,0,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with water, NFS",3,Original FNDDS recipe,NA,0.368381
2011/2012,11710917,0,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.368652
2011/2012,11710918,0,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.397824
2011/2012,11710919,0,"Gerber Good Start Gentle Plus, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water, Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.397824
2011/2012,11710929,0,"Gerber Good Start Protect Plus, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.640078
2011/2012,11710967,0,"America's Store Brand, infant formula, prepared from powder, made with tap water (Includes Parents' Choice, made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.55815
2011/2012,11710968,0,"America's Store Brand, infant formula, prepared from powder, made with plain bottled water (Includes Parents' Choice, made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.587451
2011/2012,11710969,0,"America's Store Brand, infant formula, prepared from powder, made with baby water (Includes Parents' Choice, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.587451
2011/2012,11720317,0,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.518228
2011/2012,11720318,0,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.547356
2011/2012,11720319,0,"Enfamil ProSobee LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.547356
2011/2012,11720416,0,"Similac Sensitive Isomil Soy, infant formula, prepared from liquid concentrate, made with baby water (Includes Similac Isomil Advance, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.647201
2011/2012,11720418,0,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with plain bottled water (Includes Similac Isomil Advance, made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.545893
2011/2012,11720419,0,"Similac Sensitive Isomil Soy, infant formula, prepared from powder, made with baby water (Includes Similac Isomil Advance, made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.545893
2011/2012,11720430,0,"Similac Expert Care for Diarrhea, infant formula, NS as to form (Includes Similac Isomil DF Soy)",2,Links to altEC,NA,0.93179
2011/2012,11720615,0,"Gerber Good Start Soy Plus, infant formula, prepared from liquid concentrate, made with plain bottled water (Includes made with bottled spring water; unsweetened bottled water)",4,FNDDS recipe with modified SR codes,NA,0.668135
2011/2012,11720617,0,"Gerber Good Start Soy Plus, infant formula, prepared from powder, made with tap water (Includes made with filtered tap water or well water)",3,Original FNDDS recipe,NA,0.481982
2011/2012,11740311,0,"Enfamil Nutramigen LIPIL, infant formula, ready-to-feed",1,Links to FNDDS,NA,0.995319
2011/2012,11740329,0,"Enfamil Nutramigen AA LIPIL, infant formula, prepared from powder, made with baby water (Includes made with Nursery water; Gerber Pure water; Beech-Nut Spring water)",4,FNDDS recipe with modified SR codes,NA,0.859071
2011/2012,11810000,0,"Milk, dry, not reconstituted, NS as to whole, lowfat, or nonfat",1,Links to FNDDS,NA,0.125823
2011/2012,11811000,0,"Milk, dry, whole, not reconstituted",1,Links to FNDDS,NA,0.750497
2011/2012,11830100,0,"Cocoa (or chocolate) with dry milk and sugar, dry mix, not reconstituted (Includes cocoa mix, NFS, Swiss Miss Hot Chocolate, Hershey's Hot Chocolate, Nestle's Hot Chocolate)",1,Links to FNDDS,NA,0.921063
2011/2012,11830110,0,"Cocoa powder with nonfat dry milk and low calorie sweetener, dry mix, not reconstituted (Includes Swiss Miss Sugar-Free Hot Cocoa Mix, Alba Sugar-Free Hot Cocoa Mix, Carnation Sugar Free Hot Cocoa Mix, sugar free dry cocoa mix, NFS)",1,Links to FNDDS,NA,1.057972
2011/2012,11830120,0,"Cocoa, whey, and low calorie sweetener, fortified, dry mix, not reconstituted (Includes Ovaltine Sugar-Free Hot Cocoa)",1,Links to FNDDS,NA,1.143788
2011/2012,11830150,0,"Cocoa powder, not reconstituted (no dry milk)",2,Links to altEC,NA,1.29645
2011/2012,11830160,0,"Cocoa (or chocolate) flavored beverage powder with sugar, dry mix, not reconstituted (Includes Hershey's Instant, Nestle's Quik)",1,Links to FNDDS,NA,0.640461
2011/2012,11830170,0,"Cocoa (or chocolate) flavored beverage powder with low-calorie sweetener, dry mix, not reconstituted (Includes Sugar-Free Nestle's Quik, Nutri System Chocolate Shake Mix)",1,Links to FNDDS,NA,0.993016
2011/2012,11830210,0,"Milk, malted, dry mix, fortified, not reconstituted, flavors other than chocolate (Includes Ovaltine)",1,Links to FNDDS,NA,1.797478
2011/2012,11830260,0,"Milk, malted, dry mix, fortified, not reconstituted, chocolate (Includes Ovaltine, NS as to flavor)",1,Links to FNDDS,NA,1.064774
2011/2012,11830400,0,"Milk beverage, powder, dry mix, not reconstituted, flavors other than chocolate (Includes banana Nestle's Quik, strawberry Nestle's Quik)",1,Links to FNDDS,NA,0.855005
2011/2012,12100100,0,"Cream, NS as to light, heavy, or half and half",1,Links to FNDDS,NA,0.364647
2011/2012,12110100,0,"Cream, light, fluid (Includes coffee cream, table cream)",2,Links to altEC,NA,0.364647
2011/2012,12120100,0,"Cream, half and half",1,Links to FNDDS,NA,0.262962
2011/2012,12120105,0,"Cream, half and half, low fat (Includes Land O' Lakes Low Fat Half and Half)",1,Links to FNDDS,NA,0.28981
2011/2012,12120110,0,"Cream, half and half, fat free (Includes Land O' Lakes Fat Free Half and Half)",1,Links to FNDDS,NA,0.258954
2011/2012,12130100,0,"Cream, heavy, fluid (Includes whipping cream, NS as to heavy or light)",1,Links to FNDDS,NA,0.531349
2011/2012,12140000,0,"Cream, heavy, whipped, sweetened (Includes heavy cream, whipped, NS as to sweetener, whipped cream, NS as to heavy or light)",4,FNDDS recipe with modified SR codes,NA,0.511908
2011/2012,12140100,0,"Cream, whipped, pressurized container (Includes Reddiwip, Fashion Whip, Quip, Kraft Dairy Whip)",1,Links to FNDDS,NA,0.986082
2011/2012,12210200,0,"Cream substitute, liquid (Includes Coffee Whitener, Dairy Rich Mocha Mix, mocha mix, Coffee Mate Liquid, Farm Rich Nondairy Breakfast Creamer)",1,Links to FNDDS,NA,0.316187
